"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18111593965901128,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Long before Almaíso takes its full shape, there are people who already carry its spirit.
Linda is one of them.

With a background in nutrition science and years inside Europe’s leading retreat environments, she brings together worlds that rarely meet:
science and intuition
structure and flow.

At Almaíso, she is rooting the direction and creation needed to bring this vision to life.

Guided by our three pillars:
Regeneration, Connection, and Joy.
She shapes the spaces, the experiences, and the retreat formats that will define what Almaíso becomes.

For Linda, food is not just nourishment.
It is medicine.

And beyond all expertise,
what defines her is her presence:
open, warm, and full of life,
someone who makes others feel at ease
even in the most intense moments.

We are grateful to have her on this journey. 🌿

—

Mucho antes de que Almaíso tome su forma completa, hay personas que ya llevan su espíritu. Linda es una de ellas.

Con formación en nutrición y años dentro de algunos de los principales centros de retiro de Europa, une mundos que rara vez se encuentran:
ciencia e intuición
estructura y flujo.

En Almaíso, está enraizando la dirección y la creación necesarias para dar vida a esta visión.

Guiada por nuestros tres pilares:
Regeneración, Conexión y Alegría. Da forma a los espacios, las experiencias y los formatos de retiro que definirán lo que Almaíso llegará a ser.

Para Linda, la comida no es solo nutrición.
Es medicina.

Y más allá de toda experiencia,
lo que la define es su presencia:
abierta, cálida y llena de vida. 
Alguien que hace sentir a todos en calma
incluso en los momentos más intensos.

Estamos agradecidos de tenerla en este camino. 🌿

#almaisotenerife #retreatleaders #consciousliving #tenerife",0,"06/03/2026 02:46",https://www.instagram.com/p/DZHoXppgGNn/,"IG carousel",,Lifetime,3227,1024,114,3,5,13,1
17922081642142882,17841453180053463,anneliseanicka,"Anne-Lise | Songs for Sacred Passages","EARLY BIRD UNTIL 30.06

Discover here Almaiso Finca el Drago, the ""paradise for the soul"" where the feminin leadership immersion will take place..

All infos in the link in the bio

#femininleadership
#womenretreat
#retreattenerife",75,"06/03/2026 04:49",https://www.instagram.com/reel/DZH2QS8txH9/,"IG reel",,Lifetime,504,,14,1,,2,0
18341122165218506,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Some holidays are filled with plans.
Others leave space for what matters.

Morning light through the trees.
A shared meal.
A quiet corner to read.
Children running freely through the garden.
An afternoon with nowhere to be.

At the historic Finca El Drago, families, friends and couples gather to experience Tenerife at a gentler pace.

Surrounded by nature, beauty and the simple joy of being together.

A place to regenerate, reconnect & expand in joy.

Discover how Almaíso can become part of your summer story.

—

Algunas vacaciones están llenas de planes.
Otras dejan espacio para lo que realmente importa.

La luz de la mañana entre los árboles.
Una comida compartida.
Un rincón tranquilo para leer.
Niños corriendo libres por el jardín.
Una tarde sin prisas y sin horarios.

En la histórica Finca El Drago, familias, amigos y parejas se reúnen para vivir Tenerife a un ritmo más amable.

Rodeados de naturaleza, belleza y la simple alegría de estar juntos.

Un lugar para regenerarse, reconectar y expandirse con alegría.

Descubre cómo Almaíso puede formar parte de tu historia este verano.

#Almaíso #Tenerife #ConsciousTravel #SlowTravel",15,"06/05/2026 02:00",https://www.instagram.com/reel/DZMsonFAFvb/,"IG reel",,Lifetime,1045,704,31,4,1,0,1
18094806758244401,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","YOGA RETREAT with @brahmakiyoga

Eight days of practice, presence, and sattvic food.
Of mornings that begin before the heat.
Of a body that slowly remembers itself.
Led by Jesper Brodén and Giulia, this retreat invites you to go deeper, move slower, and return to yourself surrounded by the beauty of Tenerife.

📍 Almaíso · Tenerife
🗓️ August 9 – 16, 2026
🎟️ Limited spots available

Please register via @brahmakiyoga or visit brahmaki.com

—

Ocho días de práctica, presencia y comida sáttvica.
De mañanas que comienzan antes del calor.
De un cuerpo que lentamente se recuerda a sí mismo.
Guiado por Jesper Brodén y Giulia, este retiro te invita a ir más profundo, moverte más despacio y volver a ti rodeado de la belleza de Tenerife.

📍 Almaíso · Tenerife
🗓️ 9 – 16 de agosto de 2026
🎟️ Plazas limitadas

Inscríbete a través de @brahmakiyoga o visita brahmaki.com

#almaisotenerife #yogaretreat #conscioustravel #tenerife",0,"06/08/2026 01:38",https://www.instagram.com/p/DZUYgsoALAl/,"IG carousel",,Lifetime,4210,1801,34,12,1,3,4
18368188465226255,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Some places are built with walls.
Others are built with people.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Almaíso has always been a collective creation.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
A place shaped by many hands, many ideas, and a shared desire to care for the land and for one another.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
As the gardens grow and the vision expands, we are reminded that what sustains this project is not only the soil beneath our feet, but the community that gathers around it.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
We are grateful to everyone who contributes their presence to this unfolding story.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Because Almaíso is not something one person creates.
It is something we grow together 🏠💚
⠀⠀⠀⠀⠀⠀⠀⠀⠀
—
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Hay lugares construidos con paredes.
Otros se construyen con personas.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Almaíso siempre ha sido una creación colectiva.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Un lugar moldeado por muchas manos, muchas ideas y un deseo compartido de cuidar la tierra y los unos a los otros.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
A medida que los jardines crecen y la visión se expande, recordamos que lo que sostiene este proyecto no es solo el suelo bajo nuestros pies, sino la comunidad que se reúne a su alrededor.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Estamos agradecidos a todos los que contribuyen con su presencia a esta historia que continúa desplegándose.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Porque Almaíso no es algo que una sola persona crea.
Es algo que crecemos juntos 🏠💚
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#almaisotenerife #retreatcenter #cousciousliving #tenerife",22,"06/10/2026 01:29",https://www.instagram.com/reel/DZZg_5DAFP0/,"IG reel",,Lifetime,1408,741,68,5,4,6,4
18021497513838760,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Some places stay with us long after we leave.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Not because of what we did there,
but because of how we felt.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
The light through the trees.
The people around the table.
The quiet moments in between.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
During her time here, @salomes.way became part of the story of this land, and this film carries a few of those memories.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Perhaps this is the kind of experience your soul has been looking for.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
—
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Hay lugares que permanecen con nosotros mucho después de habernos ido.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
No por lo que hicimos allí,
sino por cómo nos hicieron sentir.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
La luz entre los árboles.
Las personas alrededor de la mesa.
Los momentos de calma entre una cosa y otra.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Durante su tiempo aquí, @salomes.way pasó a formar parte de la historia de esta tierra, y este pequeño filme guarda algunos de esos recuerdos.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Quizás esta sea la clase de experiencia que tu alma ha estado buscando.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#retreatcenter #counciousliving #slowtravel 
⠀⠀⠀⠀⠀⠀⠀⠀⠀",11,"06/12/2026 02:44",https://www.instagram.com/reel/DZezIUAgw3A/,"IG reel",,Lifetime,1085,616,24,2,1,3,1
18085354451413044,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Casa Sofia.

One of the homes at Almaíso, thoughtfully designed for those seeking more than accommodation. A place where beauty, presence, and deeper connection unfold naturally.

Nestled within the tranquility of the finca, with sunlight pouring through every room and the Atlantic in the distance, Casa Sofia invites you to slow down and experience Tenerife with intention. Time feels gentler here, creating space for rest, reflection, and meaningful connection.

More than a house, Casa Sofia is part of the Almaíso experience. A place to reconnect with nature, others, and yourself.

—

Casa Sofia.

Una de las casas de Almaíso, diseñada con intención para quienes buscan algo más que alojamiento. Un lugar donde la belleza, la presencia y la conexión más profunda se despliegan de forma natural.

Envuelta en la tranquilidad de la finca, con luz entrando por cada rincón y el Atlántico en la distancia, Casa Sofia te invita a desacelerar y vivir Tenerife con conciencia. El tiempo se siente más suave aquí, abriendo espacio para el descanso, la reflexión y la conexión genuina.

Más que una casa, Casa Sofia es parte de la experiencia Almaíso. Un lugar para reconectar con la naturaleza, con otros, y contigo mismo.

#Almaiso #tenerife #slowtravel #retreatcenter",0,"06/16/2026 07:30",https://www.instagram.com/p/DZpnGQTDEnw/,"IG carousel",,Lifetime,1135,445,27,0,0,2,0
18035971073807600,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Scott is the kind of person who turns ideas into something real.

A path.
A garden bed.
A tree finding its place.
A structure built by hand.

With a background in fine arts, carpentry, landscaping and years of creating his own projects, he brings imagination, skill and a hands-on spirit to Almaíso.

Today, much of his care goes into Almaíso Verde, where he plants, builds and helps create the conditions for life to grow.

What makes Scott’s presence so special is not only what he creates, but the energy he brings while creating it.

Humour.
Attention.
Lightness.
A simple joy in being close to the land.

He reminds us that reconnecting with nature does not need to be complicated. Sometimes it begins with noticing what is already growing, laughing together and caring for one small thing at a time.

We feel grateful to have Scott guiding this green part of Almaíso.

Because he does not only help plants grow.

He helps this vision take root.

Thank you, Scott, for caring for Almaíso Verde with so much patience, love and joy.

—

Scott es una de esas personas que transforma las ideas en algo real.

Un camino.
Un bancal.
Un árbol encontrando su lugar.
Una estructura hecha con sus propias manos.

Con formación en bellas artes, carpintería, paisajismo y años creando sus propios proyectos, trae a Almaíso imaginación, oficio y una energía muy práctica.

Hoy, gran parte de su cuidado está en Almaíso Verde, donde planta, construye y ayuda a crear las condiciones para que la vida crezca.

Lo que hace tan especial la presencia de Scott no es solo lo que crea, sino la energía que trae mientras lo crea.

Humor.
Atención.
Ligereza.
Una alegría simple de estar cerca de la tierra.

Nos recuerda que reconectar con la naturaleza no tiene por qué ser complicado. A veces empieza por mirar lo que ya está creciendo, reír juntos y cuidar una pequeña cosa a la vez.

Nos sentimos agradecidos de tener a Scott guiando esta parte verde de Almaíso.

Porque no solo ayuda a que las plantas crezcan.

Ayuda a que esta visión eche raíces.

Gracias, Scott, por cuidar Almaíso Verde con tanta paciencia, amor y alegría.

#Almaíso #community #permakultur #permaculture #sostenibilitá",0,"06/19/2026 04:40",https://www.instagram.com/p/DZxCCQmAKsv/,"IG carousel",,Lifetime,3596,1041,119,4,27,14,2
18471484408102492,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","Everything we are building at Almaíso grows from three pillars:
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Regeneration.
Connection.
Joy.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
They guide how we care for the land, how we welcome people, how we gather, how we rest, how we create space for transformation.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Because when we feel regenerated, we can connect more deeply.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
And from that connection, joy has room to rise.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Come feel the Almaíso experience with us.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
—
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Todo lo que estamos construyendo en Almaíso nace de tres pilares:
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Regeneración.
Conexión.
Alegría.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Ellos guían la forma en que cuidamos la tierra, cómo recibimos a las personas, cómo nos reunimos, cómo descansamos y cómo abrimos espacio para la transformación.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Porque cuando nos sentimos regenerados, podemos conectar más profundamente.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Y desde esa conexión, la alegría encuentra espacio para florecer.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Ven a sentir la experiencia Almaíso con nosotros.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Almaiso #FincaelDrago #retreatcenter #regeneration #connection joy",51,"06/27/2026 02:57",https://www.instagram.com/reel/DaFclmogM7p/,"IG reel",,Lifetime,1991,993,80,3,2,4,1
18072506207342461,17841462002176953,almaiso.tenerife,"Almaíso at Finca El Drago","The mountain has been here longer than any of us.

For the Guanches, the first people of this island,
it was not Teide.
It was Echeyde.
A fire underneath the world.
A breath from somewhere older.

They did not climb it.
They listened to it.
They believed something ancient lived inside,
that the mountain was alive.

From Almaíso, we wake to it.
The light shifting on its slopes.
The clouds gathering and parting at its feet.

We do not call it a view.
We call it a presence.

Older than us.
Older than this house.
Older than the names we give the land.

Something to remember when the days move too fast.
The mountain holds. The mountain stays.

And we are here, for a moment, beside it. 🌿

—

La montaña ha estado aquí más tiempo que cualquiera de nosotros.

Para los Guanches, los primeros habitantes de esta isla,
no era Teide.
Era Echeyde.
Un fuego debajo del mundo.
Un aliento de algún lugar más antiguo.

No la escalaban.
La escuchaban.
Creían que algo ancestral vivía dentro,
que la montaña estaba viva.

Desde Almaíso, despertamos con ella.
La luz cambiando sobre sus laderas.
Las nubes reuniéndose y separándose a sus pies.

No la llamamos vista.
La llamamos presencia.

Más antigua que nosotros.
Más antigua que esta casa.
Más antigua que los nombres que le damos a la tierra.

Algo para recordar cuando los días pasan demasiado rápido.
La montaña sostiene. La montaña permanece.

Y aquí estamos, por un momento, a su lado. 🌿

#elteide #tenerife #conscioustravel #teneriffa",10,"06/30/2026 04:56",https://www.instagram.com/reel/DaNYipgA54T/,"IG reel",,Lifetime,831,550,23,1,1,2,3
