"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Views from Organic posts","Views from Boosted posts","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Negative feedback from users","Unique negative feedback from users","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","3-second video views by top audience (F, 45-54)","3-second video views by top audience (M, 45-54)","3-second video views by top audience (F, 55-64)","3-second video views by top audience (M, 35-44)","3-second video views by top audience (F, 35-44)","3-second video views by top audience (F, 65+)","3-second video views by top audience (M, 55-64)","3-second video views by top audience (M, 65+)","3-second video views by top audience (F, 25-34)","3-second video views by top audience (M, 25-34)","3-second video views by top audience (F, 18-24)","3-second video views by country (Spain (ES))","3-second video views by country (Germany (DE))","3-second video views by country (Mexico (MX))","3-second video views by country (Austria (AT))","3-second video views by country (United States (US))","3-second video views by country (Colombia (CO))","3-second video views by country (Argentina (AR))","3-second video views by country (Chile (CL))","3-second video views by country (United Kingdom (GB))","3-second video views by country (Peru (PE))","3-second video views by country (Guatemala (GT))","3-second video views by country (Estonia (EE))","3-second video views by country (Bolivia (BO))","3-second video views by country (Belarus (BY))","3-second video views by country (Bulgaria (BG))","3-second video views by country (Finland (FI))","3-second video views by country (China (CN))","3-second video views by country (Hungary (HU))","3-second video views by country (France (FR))","3-second video views by country (Sweden (SE))","3-second video views by country (Ecuador (EC))","3-second video views by country (Czech Republic (CZ))","3-second video views by country (Portugal (PT))","3-second video views by country (Cuba (CU))","3-second video views by country (Ireland (IE))","3-second video views by country (Poland (PL))","3-second video views by country (Norway (NO))","3-second video views by country (Denmark (DK))","3-second video views by country (Netherlands (NL))","3-second video views by country (Switzerland (CH))"
1537994511362661,100054563795107,"Almaíso Retreat Center","Through the seasons of life.

The land at Almaíso Verde keeps its own calendar.
We planted seeds in dry soil and waited.
Rain came. Roots settled. Leaves opened.

Season after season, the green returned.
The trees we once carried in our hands now offer shade.
The garden feeds what we bring to the table.

Growth here follows the rhythm of the land.
Slow, quiet, certain.

Whatever you are growing in your life,
trust the season you are in. 🌱

—

A través de las estaciones de la vida.

La tierra de Almaíso Verde sigue su propio calendario.
Sembramos semillas en suelo seco y esperamos.
Llegó la lluvia. Las raíces se asentaron. Las hojas se abrieron.

Estación tras estación, el verde regresó.
Los árboles que un día llevamos en las manos hoy dan sombra.
El jardín alimenta lo que traemos a la mesa.

El crecimiento aquí sigue el ritmo de la tierra.
Lento, silencioso, certero.

Sea lo que sea que estés cultivando en tu vida,
confía en la estación en la que estás. 🌱

#AlmaísoVerde #foodforest #sustainability #slowtravel #Tenerife","Through the seasons of life.

The land at Almaíso Verde keeps its own calendar.
We planted seeds in dry soil and waited.
Rain came. Roots settled. Leaves opened.

Season after season, the green returned.
The trees we once carried in our hands now offer shade.
The garden feeds what we bring to the table.

Growth here follows the rhythm of the land.
Slow, quiet, certain.

Whatever you are growing in your life,
trust the season you are in. 🌱

—

A través de las estaciones de la vida.

La tierra de Almaíso Verde sigue su propio calendario.
Sembramos semillas en suelo seco y esperamos.
Llegó la lluvia. Las raíces se asentaron. Las hojas se abrieron.

Estación tras estación, el verde regresó.
Los árboles que un día llevamos en las manos hoy dan sombra.
El jardín alimenta lo que traemos a la mesa.

El crecimiento aquí sigue el ritmo de la tierra.
Lento, silencioso, certero.

Sea lo que sea que estés cultivando en tu vida,
confía en la estación en la que estás. 🌱

#AlmaísoVerde #foodforest #sustainability #slowtravel #Tenerife",10,"07/03/2026 01:33",N/A,https://www.facebook.com/reel/1012930611524612/,1,0,Videos,,,,,Lifetime,572,301,3,3,0,0,5,5,,566,0,301,0,151,0,116,0,0,151,0,0,3003.713,7.434,0,0,0,30,23,20,18,15,13,9,8,7,5,2,68,11,9,6,6,5,5,5,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1561559422339503,100054563795107,"Almaíso Retreat Center","Almaíso Verde began with a vision: to regenerate land depleted by monoculture and rebuild the connection between soil, food and people.

Today, more than 100 plant varieties grow together where there was once only one crop. The land is becoming a living ecosystem again, nourishing our community while creating space for biodiversity to return.

For us, this is where agriculture and hospitality meet. Through the food we grow, the meals we share and the time spent close to the soil, we invite our guests to reconnect with the source of their nourishment.

In the future, what grows here will also be served in our farm-to-table restaurant, bringing the journey from soil to plate to life.

Almaíso Verde is not a finished project. It is a living one, shaped by the seasons, many caring hands and everything the land continues to teach us.

We are still growing. And this is only the beginning. 🌱

—

Almaíso Verde nació de una visión: regenerar una tierra empobrecida por el monocultivo y reconstruir la conexión entre el suelo, los alimentos y las personas.

Hoy, más de 100 variedades de plantas crecen juntas donde antes había un solo cultivo. La tierra vuelve a convertirse en un ecosistema vivo, alimentando a nuestra comunidad y creando espacio para que regrese la biodiversidad.

Para nosotros, aquí es donde la agricultura y la hospitalidad se encuentran. A través de los alimentos que cultivamos, las comidas que compartimos y el tiempo cerca de la tierra, invitamos a nuestros huéspedes a reconectar con el origen de sus alimentos.

En el futuro, lo que crece aquí también llegará a las mesas de nuestro restaurante farm-to-table, dando vida al recorrido de la tierra al plato.

Almaíso Verde no es un proyecto terminado. Es un proyecto vivo, guiado por las estaciones, muchas manos y todo lo que la tierra continúa enseñándonos.

Seguimos creciendo. Y esto es solo el comienzo. 🌱

#tenerife #foodforest #regeneration #agriculture",,0,"07/31/2026 08:19",N/A,https://www.facebook.com/almaiso.tenerife/posts/pfbid02gNJXiXNDcGSbmErQQqjy6nhooV6PfkJiMWeiVVuKS7fJDDyKRw7zKjZUiyiVbiLWl,0,0,Photos,,,,,Lifetime,108,56,7,7,0,0,16,3,13,108,0,56,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558713335957445,100054563795107,"Almaíso Retreat Center","Most travel moves fast, from place to place, image to image.

A retreat invites you to stay.
To notice the land, the changing light, and the people beside you.

That is why retreats matter.

They create a space where life can slow down just enough for us to notice what is often hidden beneath the pace of everyday life. A space to reconnect with our bodies, with nature, with meaningful conversations, and with people who arrive carrying the same intention: to be present.

Every retreat is different.
Different practices.
Different teachers.
Different stories.

Yet they all share something essential.

The possibility of returning home with something that cannot be packed in a suitcase.

A little more clarity.
A little more presence.
A deeper connection with ourselves and with one another.

That is why we do what we do.

We care for the space where these experiences can unfold.

If you’re curious about hosting or joining a retreat, we invite you to discover more at almaiso.es 

— 

La mayoría de los viajes suceden deprisa, de un lugar a otro, de una imagen a la siguiente.

Un retiro nos invita a quedarnos.
A observar la tierra, la luz cambiante y a las personas que caminan a nuestro lado.

Por eso los retiros son importantes.

Crean un espacio donde la vida puede ir un poco más despacio, lo suficiente para descubrir aquello que el ritmo cotidiano suele dejar en silencio. Un espacio para reconectar con nuestro cuerpo, con la naturaleza, con conversaciones que importan y con personas que llegan con una misma intención: estar presentes.

Cada retiro es diferente.
Diferentes prácticas.
Diferentes facilitadores.
Diferentes historias.

Pero todos comparten algo esencial.

La posibilidad de volver a casa con algo que no cabe en una maleta.

Un poco más de claridad.
Un poco más de presencia.
Una conexión más profunda con nosotros mismos y con quienes nos rodean.

Por eso hacemos lo que hacemos.

Cuidamos el espacio donde estas experiencias pueden florecer.

Si quieres descubrir más sobre Almaíso o encontrar el retiro que resuene contigo, te invitamos a visitar almaiso.es.","Most travel moves fast, from place to place, image to image.

A retreat invites you to stay.
To notice the land, the changing light, and the people beside you.

That is why retreats matter.

They create a space where life can slow down just enough for us to notice what is often hidden beneath the pace of everyday life. A space to reconnect with our bodies, with nature, with meaningful conversations, and with people who arrive carrying the same intention: to be present.

Every retreat is different.
Different practices.
Different teachers.
Different stories.

Yet they all share something essential.

The possibility of returning home with something that cannot be packed in a suitcase.

A little more clarity.
A little more presence.
A deeper connection with ourselves and with one another.

That is why we do what we do.

We care for the space where these experiences can unfold.

If you’re curious about hosting or joining a retreat, we invite you to discover more at almaiso.es 

— 

La mayoría de los viajes suceden deprisa, de un lugar a otro, de una imagen a la siguiente.

Un retiro nos invita a quedarnos.
A observar la tierra, la luz cambiante y a las personas que caminan a nuestro lado.

Por eso los retiros son importantes.

Crean un espacio donde la vida puede ir un poco más despacio, lo suficiente para descubrir aquello que el ritmo cotidiano suele dejar en silencio. Un espacio para reconectar con nuestro cuerpo, con la naturaleza, con conversaciones que importan y con personas que llegan con una misma intención: estar presentes.

Cada retiro es diferente.
Diferentes prácticas.
Diferentes facilitadores.
Diferentes historias.

Pero todos comparten algo esencial.

La posibilidad de volver a casa con algo que no cabe en una maleta.

Un poco más de claridad.
Un poco más de presencia.
Una conexión más profunda con nosotros mismos y con quienes nos rodean.

Por eso hacemos lo que hacemos.

Cuidamos el espacio donde estas experiencias pueden florecer.

Si quieres descubrir más sobre Almaíso o encontrar el retiro que resuene contigo, te invitamos a visitar almaiso.es.",24,"07/28/2026 04:00",N/A,https://www.facebook.com/reel/1066525429233146/,1,0,Videos,,,,,Lifetime,60,29,0,0,0,0,1,1,,60,0,29,0,22,0,22,0,0,22,0,0,470.254,11.469,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553638016464977,100054563795107,"Almaíso Retreat Center","Casa Luna was created with a quiet intention: to support the way we want people to feel here.

The openness of the rooms.
The light moving through the house.
The Atlantic stretching beyond the terrace.
The small details chosen with care.

Nothing exists only to be beautiful. Together, these elements create space to breathe more deeply, soften the body and return to a slower rhythm.

We believe regeneration is not something we can force. But we can create the conditions that allow it to unfold.

And perhaps that is something we only fully understand once we are here.

Welcome to Casa Luna. 🤍

—

Casa Luna fue creada con una intención serena: acompañar la forma en la que queremos que las personas se sientan aquí.

La amplitud de los espacios.
La luz recorriendo la casa.
El Atlántico extendiéndose más allá de la terraza.
Los pequeños detalles elegidos con cuidado.

Nada existe únicamente para ser bonito. Juntos, estos elementos crean espacio para respirar más profundamente, relajar el cuerpo y volver a un ritmo más lento.

Creemos que la regeneración no es algo que podamos forzar. Pero sí podemos crear las condiciones para que suceda.

Y quizás sea algo que solo comprendemos de verdad cuando estamos aquí.

Bienvenidos a Casa Luna. 🤍",,0,"07/22/2026 00:09",N/A,https://www.facebook.com/almaiso.tenerife/posts/pfbid02LJ1o57n26mAB8ZbWcssUSfEXXh84tffcewaCzurn2nuw2JTb8SmspmxETFHV5Ufnl,0,0,Photos,,,,,Lifetime,72,46,2,2,0,0,6,,6,72,0,46,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551548896673889,100054563795107,"Almaíso Retreat Center","We forget to stop.

Not because we choose to.
Because the days do not leave room for it.

A retreat is the room made again.
Days with nothing to rush toward, nowhere else to arrive.

Remember to pause. 🌿

—

Olvidamos detenernos.

No porque lo elijamos.
Porque los días no dejan espacio para eso.

Un retiro es ese espacio, hecho de nuevo.
Días sin nada hacia donde correr, sin otro lugar donde llegar.

Recuerda hacer una pausa. 🌿
#retreatcenter #tenerife #soundbath #soundhealing","We forget to stop.

Not because we choose to.
Because the days do not leave room for it.

A retreat is the room made again.
Days with nothing to rush toward, nowhere else to arrive.

Remember to pause. 🌿

—

Olvidamos detenernos.

No porque lo elijamos.
Porque los días no dejan espacio para eso.

Un retiro es ese espacio, hecho de nuevo.
Días sin nada hacia donde correr, sin otro lugar donde llegar.

Recuerda hacer una pausa. 🌿
#retreatcenter #tenerife #soundbath #soundhealing",28,"07/19/2026 10:00",auto,https://www.facebook.com/reel/917908188008299/,1,0,Videos,,,,,Lifetime,288,173,1,1,0,0,1,1,,288,0,173,0,103,0,87,0,0,103,0,0,1379.18,5.652,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549720980190014,100054563795107,"Almaíso Retreat Center","As a retreat leader, you carry so much.

The way a room is arranged.
The flow between sessions.
The quiet moments that let transformation land.

Every detail carries weight, because the details are what let the transformation happen.

At Almaíso, we carry this weight with you.
Spaces built with intention, so your attention can stay with your people, while we hold the logistics.

A meaningful retreat is guided, and held.
We are here to hold it with you. 🌿

—

Como líder de retiro, cargas con mucho.

La forma en que se organiza un espacio.
El ritmo entre sesiones.
Los momentos de quietud que permiten que la transformación se asiente.

Cada detalle tiene peso, porque son los detalles los que permiten que la transformación suceda.

En Almaíso, cargamos este peso contigo.
Espacios construidos con intención, para que tu atención permanezca en tu gente, mientras nosotros sostenemos la logística.

Un retiro significativo se guía, y se sostiene.
Estamos aquí para sostenerlo contigo. 🌿

#retreatcenter #retreatleader #tenerife #teneriffa",,0,"07/17/2026 03:16",N/A,https://www.facebook.com/almaiso.tenerife/posts/pfbid02T9DCtz7EjySqbnNigMzKgF1q6nWS4hDthHxwhBruVLtJPXRBqhskpihktziGVNXhl,0,0,Photos,,,,,Lifetime,107,56,2,2,0,0,8,4,4,107,0,56,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547990673696378,100054563795107,"Almaíso Retreat Center","At Almaíso, Camila translates what is growing here into words, images and stories.

Her inspiration often begins away from the screen, through art, observation and the small details of daily life.

The people gathered around the table.
The food made with care.
The cats moving through the garden.
The land, the light and the quiet moments in between.

Her work is not only to show Almaíso, but to help others feel the vision taking root here.

We are grateful to have her helping us tell the story.

—

En Almaíso, Camila traduce en palabras, imágenes e historias todo lo que crece aquí.

Su inspiración suele nacer lejos de la pantalla, en el arte, la observación y los pequeños detalles del día a día.

Las personas reunidas alrededor de la mesa.
La comida hecha con cuidado.
Los gatos moviéndose por el jardín.
La tierra, la luz y los momentos silenciosos entre medio.

Su trabajo no es solo mostrar Almaíso, es ayudar a que otros sientan la visión que aquí echa raíces.

Agradecemos tenerla con nosotros, ayudándonos a contar esta historia.

#retreatcenter #almaisotenerife #tenerife",,0,"07/15/2026 01:34",N/A,https://www.facebook.com/almaiso.tenerife/posts/pfbid0cDc4vJUCkfehYkS4iBH9ynyhDEDKLmmyyARvRHB5bg4WvdBLmSh29nuvjMovDGzGl,0,0,Photos,,,,,Lifetime,103,53,0,0,0,0,8,2,6,103,0,53,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545585253936920,100054563795107,"Almaíso Retreat Center","A retreat is guided, but it is also gathered.
People sitting at the same table.
Moving through the same water.
Chanting the same words at sunrise.

This is the part of the work that is easy to forget:
a retreat leader’s real task is bringing people close.

At Almaíso, we hold the space around that work,
so connection can happen on its own 💛

—

Un retiro se guía, pero también se reúne.
Personas sentadas en la misma mesa.
Moviéndose en la misma agua.
Cantando las mismas palabras al amanecer.

Esta es la parte del trabajo que es fácil de olvidar:
la verdadera tarea de un líder de retiro es acercar a las personas.

En Almaíso, sostenemos el espacio para ese trabajo,
para que la conexión suceda por sí sola 💛

#retreatleaders #almaisotenerife #conscioustravel #retreatcenter","A retreat is guided, but it is also gathered.
People sitting at the same table.
Moving through the same water.
Chanting the same words at sunrise.

This is the part of the work that is easy to forget:
a retreat leader’s real task is bringing people close.

At Almaíso, we hold the space around that work,
so connection can happen on its own 💛

—

Un retiro se guía, pero también se reúne.
Personas sentadas en la misma mesa.
Moviéndose en la misma agua.
Cantando las mismas palabras al amanecer.

Esta es la parte del trabajo que es fácil de olvidar:
la verdadera tarea de un líder de retiro es acercar a las personas.

En Almaíso, sostenemos el espacio para ese trabajo,
para que la conexión suceda por sí sola 💛

#retreatleaders #almaisotenerife #conscioustravel #retreatcenter",16,"07/12/2026 01:07",uploaded,https://www.facebook.com/reel/1657064705405471/,1,0,Videos,,,,,Lifetime,324,151,0,0,0,0,0,,,324,0,151,0,100,0,67,0,0,100,0,0,1534.849,6.448,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544073340754778,100054563795107,"Almaíso Retreat Center","A retreat center experience is a moment to enter a more intentional rhythm.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
To soften the body.
To listen more closely.
To create space for rest, presence and connection.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
A place that holds this return.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
It can welcome groups guided by facilitators.
It can welcome conscious travelers, families and friends looking for a meaningful way to spend time together.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Some arrive for practice.
Some arrive for rest.
Some arrive for nature, silence, shared meals and slower mornings.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
A retreat center is a place where life is invited to move with more presence.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
—
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Suavizar el cuerpo.
Escuchar con más atención.
Crear espacio para el descanso, la presencia y la conexión.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Un lugar que sostiene este regreso.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Puede acoger grupos guiados por facilitadores.
Puede acoger viajeros conscientes, familias y amigos que buscan una forma significativa de compartir tiempo juntos.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Algunos llegan para practicar.
Algunos llegan para descansar.
Algunos llegan por la naturaleza, el silencio, las comidas compartidas y las mañanas más lentas.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Un retreat center es un lugar donde se invita a la vida a moverse con más presencia.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#almaisotenerife #retreatcenter #conscioustravel #tenerife",,0,"07/10/2026 02:59",N/A,https://www.facebook.com/almaiso.tenerife/posts/pfbid02EzojF1hzbVjHyTfqMqWPVwtMPccZyrRav6snYNfT7NnfjYGAxCb3d49aTcVhmbRZl,0,0,Photos,,,,,Lifetime,71,41,0,0,0,0,5,,5,71,0,41,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540750077753771,100054563795107,"Almaíso Retreat Center","Almaíso Retreat Center updated their cover photo.",,0,"07/06/2026 04:38",N/A,https://www.facebook.com/photo.php?fbid=1540750077753771&set=a.590619106100211&type=3,0,0,Photos,,,,,Lifetime,2,1,4,4,0,0,1,1,,2,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
